person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
brueder-j,africaineconstructionscivilesindustrielles,1,,,president,1
ramas-j,africaineconstructionscivilesindustrielles,1,,,administrateur,1
rodary-p,africaineconstructionscivilesindustrielles,1,,,administrateur_delegue,1
romain-e,africaineconstructionscivilesindustrielles,1,,,administrateur,1
industrielle-de-l-afrique-equatoriale,agricoleindustrielleafriqueequatoriale,1,1936,1936,administrateur,1
mandel-a,agricoleindustrielleafriqueequatoriale,1,1936,1936,administrateur,1
peinturier-g,agricoleindustrielleafriqueequatoriale,1,1936,1936,administrateur,1
tremois-r,agricoleindustrielleafriqueequatoriale,1,1936,1936,president,1
vendeenne-de-bonneterie-f,agricoleindustrielleafriqueequatoriale,1,1936,1936,administrateur,1
boudei,commercialecolonisationcongo,1,1903,1903,administrateur,1
cabaret-p,commercialecolonisationcongo,1,1903,1903,administrateur,1
devouee-que-nous-avons-en-afrique,commercialecolonisationcongo,1,1903,1903,administrateur,1
dumbi,commercialecolonisationcongo,1,1903,1903,administrateur,1
flachon-v,commercialecolonisationcongo,1,1903,1903,administrateur,1
guinard-a,commercialecolonisationcongo,1,1903,1903,administrateur,1
installer-definitivement-des-factoreries-a-bomendo,commercialecolonisationcongo,1,1903,1903,administrateur,1
mainard,commercialecolonisationcongo,1,1903,1903,administrateur,1
molley,commercialecolonisationcongo,1,1903,1903,administrateur,1
situee-sur-les-rives-de-la-mambere,commercialecolonisationcongo,1,1903,1903,administrateur,1
bobichon-probablement-le-fils-d-henri-j,commercialecotonniereouhamenanacomouna,1,1951,1951,administrateur,1
martineau-g,commercialecotonniereouhamenanacomouna,1,1951,1951,administrateur,1
simenel-m,commercialecotonniereouhamenanacomouna,1,1951,1951,administrateur,1
et-maurice-superville,congolaisecaoutchouc,1,1926,1926,administrateur,1
joubert-a,congolaisecaoutchouc,1,1926,1926,administrateur,1
mandel-a,congolaisecaoutchouc,1,1926,1926,administrateur,1
nenard-r,congolaisecaoutchouc,1,1926,1926,administrateur,1
weber-j,congolaisecaoutchouc,1,1926,1926,administrateur,1
antuszewicz-g,cotonsafricains,2,1951,1953,administrateur,1
beau-c,cotonsafricains,1,1953,1953,president_directeur_general,1
boussenot-g,cotonsafricains,4,1935,1964,administrateur,1
castel-bel-air-citadelle,cotonsafricains,1,1932,1932,administrateur,1
chocarne-p,cotonsafricains,3,1932,1951,administrateur,1
dewez-g,cotonsafricains,1,1953,1953,administrateur,1
dewez-h,cotonsafricains,4,1932,1964,administrateur,1
du-monceau-de-bergendael-j,cotonsafricains,2,1935,1964,administrateur,1
du-monceau-de-bergendahl,cotonsafricains,1,1932,1932,administrateur,1
elloy-l,cotonsafricains,1,1953,1953,administrateur,1
eloy-l,cotonsafricains,1,1935,1935,administrateur,1
et-fernand-vigneron,cotonsafricains,1,1932,1932,administrateur,1
fourn-g,cotonsafricains,2,1935,1951,president,1
fr-h-terlinck,cotonsafricains,1,1951,1951,administrateur,1
laurans-h,cotonsafricains,1,1951,1951,administrateur,1
lecluse-v,cotonsafricains,2,1951,1953,administrateur,1
motte-freres-f,cotonsafricains,2,1951,1953,administrateur,1
moxhon-h,cotonsafricains,2,1951,1953,administrateur,1
mulhouse,cotonsafricains,1,1951,1951,administrateur,1
